time,TSI
1875-01-15,1361.4756
1875-02-15,1361.3057
1875-03-15,1361.4615
1875-04-15,1361.4684
1875-05-15,1361.4165
1875-06-15,1361.2393
1875-07-15,1361.36
1875-08-15,1361.3481
1875-09-15,1361.2649
1875-10-15,1361.2461
1875-11-15,1361.3066
1875-12-15,1361.3313
1876-01-15,1361.3245
1876-02-15,1361.2599
1876-03-15,1361.4165
1876-04-15,1361.3651
1876-05-15,1361.2657
1876-06-15,1361.2024
1876-07-15,1361.2844
1876-08-15,1361.3085
1876-09-15,1361.2722
1876-10-15,1361.3167
1876-11-15,1361.3245
1876-12-15,1361.2363
1877-01-15,1361.3514
1877-02-15,1361.3774
1877-03-15,1361.3575
1877-04-15,1361.3259
1877-05-15,1361.3927
1877-06-15,1361.3829
1877-07-15,1361.3278
1877-08-15,1361.241
1877-09-15,1361.2937
1877-10-15,1361.2314
1877-11-15,1361.2092
1877-12-15,1361.2408
1878-01-15,1361.182
1878-02-15,1361.1968
1878-03-15,1361.225
1878-04-15,1361.1898
1878-05-15,1361.1667
1878-06-15,1361.2172
1878-07-15,1361.1783
1878-08-15,1361.1501
1878-09-15,1361.1506
1878-10-15,1361.1654
1878-11-15,1361.1786
1878-12-15,1361.1586
1879-01-15,1361.149
1879-02-15,1361.15
1879-03-15,1361.1417
1879-04-15,1361.1709
1879-05-15,1361.1934
1879-06-15,1361.2126
1879-07-15,1361.2281
1879-08-15,1361.268
1879-09-15,1361.2614
1879-10-15,1361.2943
1879-11-15,1361.3147
1879-12-15,1361.3064
1880-01-15,1361.3472
1880-02-15,1361.401
1880-03-15,1361.4897
1880-04-15,1361.4011
1880-05-15,1361.3285
1880-06-15,1361.4377
1880-07-15,1361.5526
1880-08-15,1361.484
1880-09-15,1361.6204
1880-10-15,1361.819
1880-11-15,1361.579
1880-12-15,1361.4597
1881-01-15,1361.4385
1881-02-15,1361.6111
1881-03-15,1361.6802
1881-04-15,1361.8544
1881-05-15,1361.8345
1881-06-15,1361.8062
1881-07-15,1361.8505
1881-08-15,1361.9229
1881-09-15,1361.753
1881-10-15,1361.7994
1881-11-15,1361.6891
1881-12-15,1361.741
1882-01-15,1361.8722
1882-02-15,1361.8944
1882-03-15,1361.8065
1882-04-15,1361.7285
1882-05-15,1361.675
1882-06-15,1361.8068
1882-07-15,1361.7526
1882-08-15,1361.5667
1882-09-15,1361.6033
1882-10-15,1361.5155
1882-11-15,1361.4313
1882-12-15,1361.9612
1883-01-15,1361.7456
1883-02-15,1361.6193
1883-03-15,1361.5964
1883-04-15,1361.6926
1883-05-15,1361.871
1883-06-15,1361.5029
1883-07-15,1361.3911
1883-08-15,1361.9039
1883-09-15,1361.57
1883-10-15,1361.5481
1883-11-15,1361.7324
1883-12-15,1361.8876
1884-01-15,1361.8618
1884-02-15,1361.92
1884-03-15,1362.0139
1884-04-15,1361.6997
1884-05-15,1361.7472
1884-06-15,1361.8854
1884-07-15,1361.793
1884-08-15,1361.6967
1884-09-15,1361.5476
1884-10-15,1361.5165
1884-11-15,1361.701
1884-12-15,1361.4554
1885-01-15,1361.6342
1885-02-15,1361.6602
1885-03-15,1361.773
1885-04-15,1361.7161
1885-05-15,1361.7501
1885-06-15,1361.5282
1885-07-15,1361.8239
1885-08-15,1361.8185
1885-09-15,1361.5535
1885-10-15,1361.4374
1885-11-15,1361.4645
1885-12-15,1361.4838
1886-01-15,1361.3687
1886-02-15,1361.4749
1886-03-15,1361.3962
1886-04-15,1361.6357
1886-05-15,1361.4458
1886-06-15,1361.4446
1886-07-15,1361.3579
1886-08-15,1361.4166
1886-09-15,1361.3514
1886-10-15,1361.3053
1886-11-15,1361.2065
1886-12-15,1361.157
1887-01-15,1361.2504
1887-02-15,1361.3286
1887-03-15,1361.277
1887-04-15,1361.2435
1887-05-15,1361.2758
1887-06-15,1361.2683
1887-07-15,1361.3368
1887-08-15,1361.4225
1887-09-15,1361.2749
1887-10-15,1361.2307
1887-11-15,1361.215
1887-12-15,1361.0874
1888-01-15,1361.317
1888-02-15,1361.2605
1888-03-15,1361.2194
1888-04-15,1361.2125
1888-05-15,1361.1401
1888-06-15,1361.223
1888-07-15,1361.2023
1888-08-15,1361.1686
1888-09-15,1361.1913
1888-10-15,1361.1936
1888-11-15,1361.1292
1888-12-15,1361.2207
1889-01-15,1361.1993
1889-02-15,1361.2028
1889-03-15,1361.2251
1889-04-15,1361.2126
1889-05-15,1361.2125
1889-06-15,1361.1095
1889-07-15,1361.1788
1889-08-15,1361.264
1889-09-15,1361.2845
1889-10-15,1361.2211
1889-11-15,1361.1373
1889-12-15,1361.162
1890-01-15,1361.1987
1890-02-15,1361.1836
1890-03-15,1361.1718
1890-04-15,1361.1658
1890-05-15,1361.1897
1890-06-15,1361.1875
1890-07-15,1361.2192
1890-08-15,1361.2017
1890-09-15,1361.2677
1890-10-15,1361.2349
1890-11-15,1361.2183
1890-12-15,1361.2655
1891-01-15,1361.2365
1891-02-15,1361.3297
1891-03-15,1361.3776
1891-04-15,1361.3596
1891-05-15,1361.461
1891-06-15,1361.6102
1891-07-15,1361.6624
1891-08-15,1361.708
1891-09-15,1361.3885
1891-10-15,1361.705
1891-11-15,1361.6427
1891-12-15,1361.5829
1892-01-15,1361.5837
1892-02-15,1361.442
1892-03-15,1361.8789
1892-04-15,1361.8516
1892-05-15,1361.7029
1892-06-15,1362.0127
1892-07-15,1361.5663
1892-08-15,1362.0283
1892-09-15,1362.005
1892-10-15,1361.9495
1892-11-15,1361.85
1892-12-15,1361.9933
1893-01-15,1361.836
1893-02-15,1361.8505
1893-03-15,1361.929
1893-04-15,1361.9735
1893-05-15,1362.1267
1893-06-15,1362.0596
1893-07-15,1361.9438
1893-08-15,1361.8955
1893-09-15,1361.9067
1893-10-15,1361.921
1893-11-15,1361.7747
1893-12-15,1361.5864
1894-01-15,1361.8641
1894-02-15,1361.9363
1894-03-15,1362.04
1894-04-15,1361.6804
1894-05-15,1361.8508
1894-06-15,1361.893
1894-07-15,1362.0898
1894-08-15,1361.9692
1894-09-15,1362.0266
1894-10-15,1361.6954
1894-11-15,1361.9358
1894-12-15,1361.71
1895-01-15,1361.738
1895-02-15,1361.8224
1895-03-15,1361.7683
1895-04-15,1361.863
1895-05-15,1361.9114
1895-06-15,1361.7771
1895-07-15,1361.9581
1895-08-15,1361.5223
1895-09-15,1361.7283
1895-10-15,1361.5889
1895-11-15,1361.7227
1895-12-15,1361.6835
1896-01-15,1361.7654
1896-02-15,1361.5573
1896-03-15,1361.7456
1896-04-15,1361.7452
1896-05-15,1361.6233
1896-06-15,1361.4114
1896-07-15,1361.625
1896-08-15,1361.5997
1896-09-15,1361.3735
1896-10-15,1361.6366
1896-11-15,1361.5253
1896-12-15,1361.5133
1897-01-15,1361.1328
1897-02-15,1361.2203
1897-03-15,1361.3969
1897-04-15,1361.4373
1897-05-15,1361.3033
1897-06-15,1361.3258
1897-07-15,1361.4067
1897-08-15,1361.286
1897-09-15,1361.4142
1897-10-15,1361.5476
1897-11-15,1361.3829
1897-12-15,1361.2092
1898-01-15,1361.4082
1898-02-15,1361.4138
1898-03-15,1361.4248
1898-04-15,1361.4664
1898-05-15,1361.4277
1898-06-15,1361.4658
1898-07-15,1361.3812
1898-08-15,1361.322
1898-09-15,1361.202
1898-10-15,1361.3842
1898-11-15,1361.5017
1898-12-15,1361.3595
1899-01-15,1361.3097
1899-02-15,1361.2819
1899-03-15,1361.2386
1899-04-15,1361.2977
1899-05-15,1361.277
1899-06-15,1361.2616
1899-07-15,1361.2821
1899-08-15,1361.266
1899-09-15,1361.2203
1899-10-15,1361.2377
1899-11-15,1361.2827
1899-12-15,1361.2789
1900-01-15,1361.2603
1900-02-15,1361.2823
1900-03-15,1361.2397
1900-04-15,1361.3055
1900-05-15,1361.2998
1900-06-15,1361.2821
1900-07-15,1361.2689
1900-08-15,1361.216
1900-09-15,1361.2244
1900-10-15,1361.2158
1900-11-15,1361.2234
1900-12-15,1361.1696
1901-01-15,1361.1259
1901-02-15,1361.1332
1901-03-15,1361.1776
1901-04-15,1361.1517
1901-05-15,1361.0997
1901-06-15,1361.2
1901-07-15,1361.1776
1901-08-15,1361.1493
1901-09-15,1361.1207
1901-10-15,1361.147
1901-11-15,1361.1567
1901-12-15,1361.1577
1902-01-15,1361.1195
1902-02-15,1361.1487
1902-03-15,1361.1624
1902-04-15,1361.1814
1902-05-15,1361.1421
1902-06-15,1361.1425
1902-07-15,1361.1528
1902-08-15,1361.1647
1902-09-15,1361.18
1902-10-15,1361.2413
1902-11-15,1361.2688
1902-12-15,1361.2339
1903-01-15,1361.2422
1903-02-15,1361.297
1903-03-15,1361.2887
1903-04-15,1361.3611
1903-05-15,1361.4443
1903-06-15,1361.3595
1903-07-15,1361.389
1903-08-15,1361.5691
1903-09-15,1361.4764
1903-10-15,1361.1287
1903-11-15,1361.3916
1903-12-15,1361.6619
1904-01-15,1361.599
1904-02-15,1361.4359
1904-03-15,1361.516
1904-04-15,1361.3512
1904-05-15,1361.76
1904-06-15,1361.7098
1904-07-15,1361.6865
1904-08-15,1361.7767
1904-09-15,1361.7931
1904-10-15,1361.6464
1904-11-15,1361.7468
1904-12-15,1361.6658
1905-01-15,1361.5536
1905-02-15,1361.3143
1905-03-15,1361.5486
1905-04-15,1361.8126
1905-05-15,1361.5789
1905-06-15,1361.5924
1905-07-15,1361.4949
1905-08-15,1361.7316
1905-09-15,1361.917
1905-10-15,1361.2231
1905-11-15,1361.6859
1905-12-15,1362.0145
1906-01-15,1361.7266
1906-02-15,1361.5997
1906-03-15,1361.4901
1906-04-15,1361.8264
1906-05-15,1361.6749
1906-06-15,1361.8798
1906-07-15,1361.8373
1906-08-15,1361.8768
1906-09-15,1361.8752
1906-10-15,1361.7004
1906-11-15,1361.5044
1906-12-15,1361.5471
1907-01-15,1361.7606
1907-02-15,1361.5074
1907-03-15,1362.0707
1907-04-15,1361.8335
1907-05-15,1361.619
1907-06-15,1361.3536
1907-07-15,1361.5167
1907-08-15,1361.7252
1907-09-15,1361.7048
1907-10-15,1361.779
1907-11-15,1361.705
1907-12-15,1361.4984
1908-01-15,1361.6599
1908-02-15,1361.6555
1908-03-15,1361.5768
1908-04-15,1361.5885
1908-05-15,1361.7762
1908-06-15,1361.6876
1908-07-15,1361.7776
1908-08-15,1361.4039
1908-09-15,1361.677
1908-10-15,1361.9318
1908-11-15,1361.5244
1908-12-15,1361.5167
1909-01-15,1361.3534
1909-02-15,1361.6383
1909-03-15,1361.6417
1909-04-15,1361.6354
1909-05-15,1361.5084
1909-06-15,1361.4579
1909-07-15,1361.3889
1909-08-15,1361.5784
1909-09-15,1361.4507
1909-10-15,1361.5825
1909-11-15,1361.666
1909-12-15,1361.6809
1910-01-15,1361.5393
1910-02-15,1361.2991
1910-03-15,1361.3916
1910-04-15,1361.338
1910-05-15,1361.2604
1910-06-15,1361.3408
1910-07-15,1361.3241
1910-08-15,1361.284
1910-09-15,1361.2883
1910-10-15,1361.3827
1910-11-15,1361.3999
1910-12-15,1361.2699
1911-01-15,1361.1753
1911-02-15,1361.1967
1911-03-15,1361.2284
1911-04-15,1361.235
1911-05-15,1361.275
1911-06-15,1361.2115
1911-07-15,1361.177
1911-08-15,1361.1656
1911-09-15,1361.1685
1911-10-15,1361.1792
1911-11-15,1361.1534
1911-12-15,1361.1687
1912-01-15,1361.155
1912-02-15,1361.1436
1912-03-15,1361.1549
1912-04-15,1361.1743
1912-05-15,1361.2037
1912-06-15,1361.1761
1912-07-15,1361.19
1912-08-15,1361.1609
1912-09-15,1361.204
1912-10-15,1361.2008
1912-11-15,1361.1924
1912-12-15,1361.1619
1913-01-15,1361.179
1913-02-15,1361.1737
1913-03-15,1361.1536
1913-04-15,1361.1453
1913-05-15,1361.1384
1913-06-15,1361.133
1913-07-15,1361.1464
1913-08-15,1361.1478
1913-09-15,1361.1542
1913-10-15,1361.1674
1913-11-15,1361.1643
1913-12-15,1361.1733
1914-01-15,1361.2014
1914-02-15,1361.1915
1914-03-15,1361.1907
1914-04-15,1361.187
1914-05-15,1361.2766
1914-06-15,1361.2355
1914-07-15,1361.2407
1914-08-15,1361.1311
1914-09-15,1361.1777
1914-10-15,1361.3063
1914-11-15,1361.337
1914-12-15,1361.393
1915-01-15,1361.4298
1915-02-15,1361.453
1915-03-15,1361.6492
1915-04-15,1361.4757
1915-05-15,1361.631
1915-06-15,1361.5856
1915-07-15,1361.6578
1915-08-15,1361.9187
1915-09-15,1361.8031
1915-10-15,1361.7172
1915-11-15,1361.7368
1915-12-15,1361.6825
1916-01-15,1361.696
1916-02-15,1361.7098
1916-03-15,1361.773
1916-04-15,1361.9955
1916-05-15,1361.8237
1916-06-15,1361.764
1916-07-15,1361.8596
1916-08-15,1361.7766
1916-09-15,1361.7048
1916-10-15,1361.6064
1916-11-15,1361.9031
1916-12-15,1361.8834
1917-01-15,1361.8208
1917-02-15,1361.6605
1917-03-15,1362.1598
1917-04-15,1362.2158
1917-05-15,1362.2186
1917-06-15,1362.3381
1917-07-15,1362.4172
1917-08-15,1362.1058
1917-09-15,1362.5994
1917-10-15,1362.4226
1917-11-15,1362.1974
1917-12-15,1361.8901
1918-01-15,1362.0847
1918-02-15,1362.2183
1918-03-15,1361.9873
1918-04-15,1361.9664
1918-05-15,1362.1207
1918-06-15,1362.1075
1918-07-15,1362.0474
1918-08-15,1361.9673
1918-09-15,1362.2068
1918-10-15,1361.9984
1918-11-15,1362.0198
1918-12-15,1361.7893
1919-01-15,1361.7882
1919-02-15,1361.6238
1919-03-15,1361.7777
1919-04-15,1361.8538
1919-05-15,1361.6206
1919-06-15,1361.8641
1919-07-15,1362.1047
1919-08-15,1361.6517
1919-09-15,1361.6223
1919-10-15,1361.6583
1919-11-15,1361.558
1919-12-15,1361.6888
1920-01-15,1361.2184
1920-02-15,1361.6831
1920-03-15,1361.4464
1920-04-15,1361.6401
1920-05-15,1361.5453
1920-06-15,1361.4446
1920-07-15,1361.4783
1920-08-15,1361.499
1920-09-15,1361.2506
1920-10-15,1361.566
1920-11-15,1361.4406
1920-12-15,1361.4618
1921-01-15,1361.4209
1921-02-15,1361.4761
1921-03-15,1361.4163
1921-04-15,1361.4836
1921-05-15,1361.2888
1921-06-15,1361.4395
1921-07-15,1361.4718
1921-08-15,1361.4694
1921-09-15,1361.3372
1921-10-15,1361.2659
1921-11-15,1361.1792
1921-12-15,1361.2872
1922-01-15,1361.3804
1922-02-15,1361.2815
1922-03-15,1361.1821
1922-04-15,1361.5211
1922-05-15,1361.2708
1922-06-15,1361.1909
1922-07-15,1361.1664
1922-08-15,1361.2206
1922-09-15,1361.2124
1922-10-15,1361.2211
1922-11-15,1361.1693
1922-12-15,1361.0708
1923-01-15,1361.2516
1923-02-15,1361.1923
1923-03-15,1361.158
1923-04-15,1361.1815
1923-05-15,1361.1843
1923-06-15,1361.2007
1923-07-15,1361.2148
1923-08-15,1361.1868
1923-09-15,1361.2017
1923-10-15,1361.2468
1923-11-15,1361.2571
1923-12-15,1361.2147
1924-01-15,1361.1573
1924-02-15,1361.1528
1924-03-15,1361.2009
1924-04-15,1361.2217
1924-05-15,1361.3252
1924-06-15,1361.3529
1924-07-15,1361.455
1924-08-15,1361.3428
1924-09-15,1361.3444
1924-10-15,1361.3352
1924-11-15,1361.2539
1924-12-15,1361.3657
1925-01-15,1361.3312
1925-02-15,1361.3115
1925-03-15,1361.3816
1925-04-15,1361.5272
1925-05-15,1361.4834
1925-06-15,1361.689
1925-07-15,1361.7079
1925-08-15,1361.642
1925-09-15,1361.7814
1925-10-15,1361.7036
1925-11-15,1361.535
1925-12-15,1360.9612
1926-01-15,1361.2942
1926-02-15,1361.5765
1926-03-15,1361.6508
1926-04-15,1361.8228
1926-05-15,1361.5641
1926-06-15,1361.6482
1926-07-15,1361.8079
1926-08-15,1361.8555
1926-09-15,1361.6005
1926-10-15,1361.6854
1926-11-15,1362.0303
1926-12-15,1361.7714
1927-01-15,1361.6421
1927-02-15,1362.001
1927-03-15,1362.1466
1927-04-15,1361.9412
1927-05-15,1362.0614
1927-06-15,1361.8927
1927-07-15,1361.8075
1927-08-15,1361.6256
1927-09-15,1361.6506
1927-10-15,1361.9001
1927-11-15,1361.8091
1927-12-15,1361.8906
1928-01-15,1361.6761
1928-02-15,1361.9255
1928-03-15,1361.8365
1928-04-15,1362.0005
1928-05-15,1361.9734
1928-06-15,1361.9706
1928-07-15,1361.8024
1928-08-15,1361.9998
1928-09-15,1361.5138
1928-10-15,1361.8912
1928-11-15,1361.7871
1928-12-15,1361.6077
1929-01-15,1361.7001
1929-02-15,1361.8435
1929-03-15,1361.6354
1929-04-15,1361.6832
1929-05-15,1361.7211
1929-06-15,1361.7275
1929-07-15,1361.8448
1929-08-15,1361.9867
1929-09-15,1361.9528
1929-10-15,1361.3795
1929-11-15,1361.1398
1929-12-15,1361.1484
1930-01-15,1361.9747
1930-02-15,1361.9122
1930-03-15,1361.5493
1930-04-15,1361.4604
1930-05-15,1361.4884
1930-06-15,1361.5588
1930-07-15,1361.5498
1930-08-15,1361.4492
1930-09-15,1361.5015
1930-10-15,1361.352
1930-11-15,1361.4393
1930-12-15,1361.5966
1931-01-15,1361.4769
1931-02-15,1361.297
1931-03-15,1361.4279
1931-04-15,1361.5295
1931-05-15,1361.4846
1931-06-15,1361.4097
1931-07-15,1361.4142
1931-08-15,1361.374
1931-09-15,1361.3949
1931-10-15,1361.348
1931-11-15,1361.3054
1931-12-15,1361.3511
1932-01-15,1361.3597
1932-02-15,1361.3224
1932-03-15,1361.3215
1932-04-15,1361.2484
1932-05-15,1361.2594
1932-06-15,1361.3258
1932-07-15,1361.3862
1932-08-15,1361.3005
1932-09-15,1361.2557
1932-10-15,1361.2592
1932-11-15,1361.2976
1932-12-15,1361.2406
1933-01-15,1361.3029
1933-02-15,1361.1592
1933-03-15,1361.3379
1933-04-15,1361.2823
1933-05-15,1361.2194
1933-06-15,1361.2208
1933-07-15,1361.2325
1933-08-15,1361.2115
1933-09-15,1361.2197
1933-10-15,1361.2117
1933-11-15,1361.2236
1933-12-15,1361.204
1934-01-15,1361.2147
1934-02-15,1361.2764
1934-03-15,1361.288
1934-04-15,1361.2106
1934-05-15,1361.2959
1934-06-15,1361.3297
1934-07-15,1361.3091
1934-08-15,1361.284
1934-09-15,1361.2815
1934-10-15,1361.2999
1934-11-15,1361.3007
1934-12-15,1361.3716
1935-01-15,1361.3689
1935-02-15,1361.4528
1935-03-15,1361.5022
1935-04-15,1361.4672
1935-05-15,1361.4498
1935-06-15,1361.5055
1935-07-15,1361.6178
1935-08-15,1361.6604
1935-09-15,1361.6958
1935-10-15,1361.6924
1935-11-15,1361.4869
1935-12-15,1361.5392
1936-01-15,1361.5604
1936-02-15,1361.8718
1936-03-15,1361.9874
1936-04-15,1362.0304
1936-05-15,1362.055
1936-06-15,1361.9702
1936-07-15,1361.9808
1936-08-15,1362.0924
1936-09-15,1362.2705
1936-10-15,1362.2734
1936-11-15,1362.085
1936-12-15,1362.438
1937-01-15,1362.2781
1937-02-15,1362.4003
1937-03-15,1362.5068
1937-04-15,1361.9177
1937-05-15,1362.0651
1937-06-15,1362.0026
1937-07-15,1361.9668
1937-08-15,1362.5049
1937-09-15,1362.5421
1937-10-15,1361.8901
1937-11-15,1362.358
1937-12-15,1362.0724
1938-01-15,1361.7216
1938-02-15,1362.2441
1938-03-15,1362.2229
1938-04-15,1361.9482
1938-05-15,1362.1482
1938-06-15,1362.4207
1938-07-15,1362.0298
1938-08-15,1362.7466
1938-09-15,1362.2311
1938-10-15,1361.9177
1938-11-15,1361.7748
1938-12-15,1362.0228
1939-01-15,1362.148
1939-02-15,1362.1438
1939-03-15,1362.14
1939-04-15,1361.8247
1939-05-15,1362.3242
1939-06-15,1362.5869
1939-07-15,1362.0033
1939-08-15,1361.7255
1939-09-15,1361.4187
1939-10-15,1361.8701
1939-11-15,1361.8829
1939-12-15,1361.8646
1940-01-15,1361.4419
1940-02-15,1361.645
1940-03-15,1361.7417
1940-04-15,1362.1221
1940-05-15,1361.948
1940-06-15,1361.8423
1940-07-15,1362.0586
1940-08-15,1361.7765
1940-09-15,1362.1078
1940-10-15,1361.778
1940-11-15,1361.8615
1940-12-15,1361.8274
1941-01-15,1361.8898
1941-02-15,1361.7655
1941-03-15,1361.7325
1941-04-15,1361.6956
1941-05-15,1361.729
1941-06-15,1361.64
1941-07-15,1361.7701
1941-08-15,1361.8809
1941-09-15,1361.6176
1941-10-15,1361.6304
1941-11-15,1361.6536
1941-12-15,1361.6709
1942-01-15,1361.6547
1942-02-15,1361.4701
1942-03-15,1361.5841
1942-04-15,1361.628
1942-05-15,1361.7296
1942-06-15,1361.514
1942-07-15,1361.3557
1942-08-15,1361.3837
1942-09-15,1361.4764
1942-10-15,1361.4357
1942-11-15,1361.3792
1942-12-15,1361.5371
1943-01-15,1361.4908
1943-02-15,1361.2454
1943-03-15,1361.3126
1943-04-15,1361.2516
1943-05-15,1361.4296
1943-06-15,1361.3784
1943-07-15,1361.2623
1943-08-15,1361.393
1943-09-15,1361.351
1943-10-15,1361.259
1943-11-15,1361.2963
1943-12-15,1361.291
1944-01-15,1361.3379
1944-02-15,1361.266
1944-03-15,1361.2369
1944-04-15,1361.2561
1944-05-15,1361.2621
1944-06-15,1361.2762
1944-07-15,1361.2997
1944-08-15,1361.3813
1944-09-15,1361.3663
1944-10-15,1361.4446
1944-11-15,1361.3627
1944-12-15,1361.3215
1945-01-15,1361.5011
1945-02-15,1361.5096
1945-03-15,1361.3097
1945-04-15,1361.4315
1945-05-15,1361.6438
1945-06-15,1361.6227
1945-07-15,1361.6697
1945-08-15,1361.6858
1945-09-15,1361.6416
1945-10-15,1361.6066
1945-11-15,1361.9934
1945-12-15,1361.8046
1946-01-15,1361.4619
1946-02-15,1361.0022
1946-03-15,1361.9548
1946-04-15,1362.0468
1946-05-15,1362.1707
1946-06-15,1362.2638
1946-07-15,1361.467
1946-08-15,1362.0465
1946-09-15,1362.1503
1946-10-15,1362.3269
1946-11-15,1362.2682
1946-12-15,1362.0443
1947-01-15,1362.0458
1947-02-15,1361.7283
1947-03-15,1361.4303
1947-04-15,1361.4637
1947-05-15,1362.0767
1947-06-15,1362.9904
1947-07-15,1362.5444
1947-08-15,1362.2014
1947-09-15,1362.7733
1947-10-15,1362.4921
1947-11-15,1362.4045
1947-12-15,1362.1108
1948-01-15,1362.4238
1948-02-15,1362.2975
1948-03-15,1362.1412
1948-04-15,1361.8246
1948-05-15,1362.2183
1948-06-15,1362.5144
1948-07-15,1362.6608
1948-08-15,1362.454
1948-09-15,1362.4044
1948-10-15,1362.425
1948-11-15,1362.4668
1948-12-15,1361.8416
1949-01-15,1362.0123
1949-02-15,1361.6407
1949-03-15,1362.0219
1949-04-15,1362.6006
1949-05-15,1362.455
1949-06-15,1362.2051
1949-07-15,1362.1616
1949-08-15,1361.9465
1949-09-15,1362.1908
1949-10-15,1362.2595
1949-11-15,1362.125
1949-12-15,1362.319
1950-01-15,1362.1439
1950-02-15,1361.7435
1950-03-15,1361.9819
1950-04-15,1361.5767
1950-05-15,1362.0938
